cos_theta_lower,cos_theta_upper,phi_lower_rad,phi_upper_rad,count,probability,relative_to_isotropic
-0.3999999999999999,-0.19999999999999996,2.7488935718910685,3.141592653589793,14,0.0109375,1.75
-0.19999999999999996,0.0,-3.141592653589793,-2.748893571891069,11,0.00859375,1.375
-0.19999999999999996,0.0,-2.748893571891069,-2.356194490192345,6,0.0046875,0.75
-0.19999999999999996,0.0,-2.356194490192345,-1.9634954084936207,9,0.00703125,1.125
-0.19999999999999996,0.0,-1.9634954084936207,-1.5707963267948966,5,0.00390625,0.625
-0.19999999999999996,0.0,-1.5707963267948966,-1.1780972450961724,13,0.01015625,1.625
-0.19999999999999996,0.0,-1.1780972450961724,-0.7853981633974483,8,0.00625,1.0
-0.19999999999999996,0.0,-0.7853981633974483,-0.39269908169872414,5,0.00390625,0.625
-0.19999999999999996,0.0,-0.39269908169872414,0.0,11,0.00859375,1.375
-0.19999999999999996,0.0,0.0,0.39269908169872414,6,0.0046875,0.75
-0.19999999999999996,0.0,0.39269908169872414,0.7853981633974483,8,0.00625,1.0
-0.19999999999999996,0.0,0.7853981633974483,1.178097245096172,4,0.003125,0.5
-0.19999999999999996,0.0,1.178097245096172,1.5707963267948966,5,0.00390625,0.625
-0.19999999999999996,0.0,1.5707963267948966,1.9634954084936211,17,0.01328125,2.125
-0.19999999999999996,0.0,1.9634954084936211,2.356194490192345,9,0.00703125,1.125
-0.19999999999999996,0.0,2.356194490192345,2.7488935718910685,1,0.00078125,0.125
-0.19999999999999996,0.0,2.7488935718910685,3.141592653589793,8,0.00625,1.0
0.0,0.20000000000000018,-3.141592653589793,-2.748893571891069,20,0.015625,2.5
0.0,0.20000000000000018,-2.748893571891069,-2.356194490192345,12,0.009375,1.5
0.0,0.20000000000000018,-2.356194490192345,-1.9634954084936207,9,0.00703125,1.125
0.0,0.20000000000000018,-1.9634954084936207,-1.5707963267948966,9,0.00703125,1.125
0.0,0.20000000000000018,-1.5707963267948966,-1.1780972450961724,16,0.0125,2.0
0.0,0.20000000000000018,-1.1780972450961724,-0.7853981633974483,9,0.00703125,1.125
0.0,0.20000000000000018,-0.7853981633974483,-0.39269908169872414,12,0.009375,1.5
0.0,0.20000000000000018,-0.39269908169872414,0.0,9,0.00703125,1.125
0.0,0.20000000000000018,0.0,0.39269908169872414,5,0.00390625,0.625
0.0,0.20000000000000018,0.39269908169872414,0.7853981633974483,8,0.00625,1.0
0.0,0.20000000000000018,0.7853981633974483,1.178097245096172,4,0.003125,0.5
0.0,0.20000000000000018,1.178097245096172,1.5707963267948966,2,0.0015625,0.25
0.0,0.20000000000000018,1.5707963267948966,1.9634954084936211,16,0.0125,2.0
0.0,0.20000000000000018,1.9634954084936211,2.356194490192345,0,0.0,0.0
0.0,0.20000000000000018,2.356194490192345,2.7488935718910685,1,0.00078125,0.125
0.0,0.20000000000000018,2.7488935718910685,3.141592653589793,17,0.01328125,2.125
0.20000000000000018,0.40000000000000013,-3.141592653589793,-2.748893571891069,19,0.01484375,2.375
0.20000000000000018,0.40000000000000013,-2.748893571891069,-2.356194490192345,13,0.01015625,1.625
0.20000000000000018,0.40000000000000013,-2.356194490192345,-1.9634954084936207,5,0.00390625,0.625
0.20000000000000018,0.40000000000000013,-1.9634954084936207,-1.5707963267948966,4,0.003125,0.5
0.20000000000000018,0.40000000000000013,-1.5707963267948966,-1.1780972450961724,12,0.009375,1.5
0.20000000000000018,0.40000000000000013,-1.1780972450961724,-0.7853981633974483,7,0.00546875,0.875
0.20000000000000018,0.40000000000000013,-0.7853981633974483,-0.39269908169872414,9,0.00703125,1.125
0.20000000000000018,0.40000000000000013,-0.39269908169872414,0.0,11,0.00859375,1.375
0.20000000000000018,0.40000000000000013,0.0,0.39269908169872414,4,0.003125,0.5
0.20000000000000018,0.40000000000000013,0.39269908169872414,0.7853981633974483,5,0.00390625,0.625
0.20000000000000018,0.40000000000000013,0.7853981633974483,1.178097245096172,6,0.0046875,0.75
0.20000000000000018,0.40000000000000013,1.178097245096172,1.5707963267948966,2,0.0015625,0.25
0.20000000000000018,0.40000000000000013,1.5707963267948966,1.9634954084936211,11,0.00859375,1.375
0.20000000000000018,0.40000000000000013,1.9634954084936211,2.356194490192345,3,0.00234375,0.375
0.20000000000000018,0.40000000000000013,2.356194490192345,2.7488935718910685,4,0.003125,0.5
0.20000000000000018,0.40000000000000013,2.7488935718910685,3.141592653589793,18,0.0140625,2.25
0.40000000000000013,0.6000000000000001,-3.141592653589793,-2.748893571891069,12,0.009375,1.5
0.40000000000000013,0.6000000000000001,-2.748893571891069,-2.356194490192345,4,0.003125,0.5
0.40000000000000013,0.6000000000000001,-2.356194490192345,-1.9634954084936207,4,0.003125,0.5
0.40000000000000013,0.6000000000000001,-1.9634954084936207,-1.5707963267948966,4,0.003125,0.5
0.40000000000000013,0.6000000000000001,-1.5707963267948966,-1.1780972450961724,9,0.00703125,1.125
0.40000000000000013,0.6000000000000001,-1.1780972450961724,-0.7853981633974483,6,0.0046875,0.75
0.40000000000000013,0.6000000000000001,-0.7853981633974483,-0.39269908169872414,8,0.00625,1.0
0.40000000000000013,0.6000000000000001,-0.39269908169872414,0.0,2,0.0015625,0.25
0.40000000000000013,0.6000000000000001,0.0,0.39269908169872414,3,0.00234375,0.375
0.40000000000000013,0.6000000000000001,0.39269908169872414,0.7853981633974483,5,0.00390625,0.625
0.40000000000000013,0.6000000000000001,0.7853981633974483,1.178097245096172,8,0.00625,1.0
0.40000000000000013,0.6000000000000001,1.178097245096172,1.5707963267948966,13,0.01015625,1.625
0.40000000000000013,0.6000000000000001,1.5707963267948966,1.9634954084936211,8,0.00625,1.0
0.40000000000000013,0.6000000000000001,1.9634954084936211,2.356194490192345,10,0.0078125,1.25
0.40000000000000013,0.6000000000000001,2.356194490192345,2.7488935718910685,8,0.00625,1.0
0.40000000000000013,0.6000000000000001,2.7488935718910685,3.141592653589793,5,0.00390625,0.625
0.6000000000000001,0.8,-3.141592653589793,-2.748893571891069,3,0.00234375,0.375
0.6000000000000001,0.8,-2.748893571891069,-2.356194490192345,7,0.00546875,0.875
0.6000000000000001,0.8,-2.356194490192345,-1.9634954084936207,6,0.0046875,0.75
0.6000000000000001,0.8,-1.9634954084936207,-1.5707963267948966,9,0.00703125,1.125
0.6000000000000001,0.8,-1.5707963267948966,-1.1780972450961724,4,0.003125,0.5
0.6000000000000001,0.8,-1.1780972450961724,-0.7853981633974483,2,0.0015625,0.25
0.6000000000000001,0.8,-0.7853981633974483,-0.39269908169872414,9,0.00703125,1.125
0.6000000000000001,0.8,-0.39269908169872414,0.0,4,0.003125,0.5
0.6000000000000001,0.8,0.0,0.39269908169872414,8,0.00625,1.0
0.6000000000000001,0.8,0.39269908169872414,0.7853981633974483,12,0.009375,1.5
0.6000000000000001,0.8,0.7853981633974483,1.178097245096172,16,0.0125,2.0
0.6000000000000001,0.8,1.178097245096172,1.5707963267948966,22,0.0171875,2.75
0.6000000000000001,0.8,1.5707963267948966,1.9634954084936211,15,0.01171875,1.875
0.6000000000000001,0.8,1.9634954084936211,2.356194490192345,7,0.00546875,0.875
0.6000000000000001,0.8,2.356194490192345,2.7488935718910685,7,0.00546875,0.875
0.6000000000000001,0.8,2.7488935718910685,3.141592653589793,1,0.00078125,0.125
0.8,1.0,-3.141592653589793,-2.748893571891069,4,0.003125,0.5
0.8,1.0,-2.748893571891069,-2.356194490192345,6,0.0046875,0.75
0.8,1.0,-2.356194490192345,-1.9634954084936207,9,0.00703125,1.125
0.8,1.0,-1.9634954084936207,-1.5707963267948966,3,0.00234375,0.375
0.8,1.0,-1.5707963267948966,-1.1780972450961724,5,0.00390625,0.625
0.8,1.0,-1.1780972450961724,-0.7853981633974483,2,0.0015625,0.25
0.8,1.0,-0.7853981633974483,-0.39269908169872414,5,0.00390625,0.625
0.8,1.0,-0.39269908169872414,0.0,8,0.00625,1.0
0.8,1.0,0.0,0.39269908169872414,13,0.01015625,1.625
0.8,1.0,0.39269908169872414,0.7853981633974483,13,0.01015625,1.625
0.8,1.0,0.7853981633974483,1.178097245096172,10,0.0078125,1.25
0.8,1.0,1.178097245096172,1.5707963267948966,8,0.00625,1.0
0.8,1.0,1.5707963267948966,1.9634954084936211,12,0.009375,1.5
0.8,1.0,1.9634954084936211,2.356194490192345,15,0.01171875,1.875
