Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Mr Game & Watch,Wii Fit Trainer,1,1,0,1,15,1.925,2,1.925
Mr Game & Watch,Richter,2,1,0,1,38,1.81,0,3.7350000000000003
Mr Game & Watch,Meta Knight,3,1,0,2,117,2.415,-1,6.15
Mr Game & Watch,Peach,4,1,0,2,121,2.395,1,8.545
Mr Game & Watch,Marth,5,1,0,2,130,2.35,3,10.895
Mr Game & Watch,King Dedede,1,0,1,-1,96,0.48,1,11.375
Roy,Ryu,1,1,0,2,46,2.77,2,2.77
Roy,Ike,2,1,0,2,116,2.42,2,5.1899999999999995
Roy,Duck Hunt,3,1,0,2,92,2.54,1,7.73
Roy,Sonic,1,1,0,2,0,3.0,0,10.73
Roy,Banjo & Kazooie,2,0,1,-2,59,-0.705,-1,10.025
Ganondorf,Dark Samus,1,1,0,2,72,2.64,1,2.64
Ganondorf,King Dedede,2,1,0,1,84,1.58,1,4.220000000000001
Ganondorf,Corrin,3,1,0,2,90,2.55,-1,6.77
Ganondorf,Captain Falcon,4,1,0,1,0,2.0,2,8.77
Ganondorf,Ness,1,1,0,2,59,2.705,0,11.475
Ganondorf,Mario,2,1,0,2,138,2.31,-1,13.785
Ganondorf,King K Rool,3,1,0,2,75,2.625,2,16.41
Ganondorf,Simon,5,1,0,3,137,3.315,-2,19.725
Toon Link,Steve,1,1,0,1,0,2.0,-2,2.0
Toon Link,Piranha Plant,2,1,0,2,89,2.555,1,4.555
Toon Link,Zero Suit Samus,3,1,0,2,104,2.48,0,7.035
Toon Link,King K Rool,1,0,1,-1,100,0.5,0,7.535
Dark Pit,Chrom,1,1,0,3,142,3.29,0,3.29
Dark Pit,Young Link,2,1,0,2,77,2.615,0,5.905
Dark Pit,King Dedede,3,1,0,1,110,1.45,0,7.355
Dark Pit,Ness,1,1,0,2,100,2.5,-1,9.855
Dark Pit,Banjo & Kazooie,2,1,0,2,120,2.4,0,12.255
Dark Pit,Snake,3,1,0,2,0,3.0,-1,15.255
Cloud,Pit,1,1,0,2,117,2.415,1,2.415
Cloud,Duck Hunt,2,1,0,3,141,3.295,2,5.71
Cloud,Min Min,3,1,0,1,7,1.965,0,7.675
Cloud,Shulk,1,1,0,2,8,2.96,1,10.635
Cloud,Ganondorf,2,1,0,2,67,2.665,-1,13.3
Cloud,Duck Hunt,3,1,0,1,128,1.36,2,14.66
Cloud,Mario,4,1,0,2,53,2.735,0,17.395
Hero,Pit,1,1,0,2,89,2.555,-1,2.555
Hero,Ganondorf,2,1,0,1,73,1.635,-1,4.19
Hero,Mewtwo,3,1,0,2,0,3.0,1,7.19
Hero,Incineroar,1,1,0,2,91,2.545,1,9.735
Hero,Simon,2,1,0,2,0,3.0,1,12.735
Hero,Robin,3,1,0,1,0,2.0,0,14.735
Wario,Ridley,1,1,0,2,66,2.67,1,2.67
Wario,Richter,2,1,0,2,154,2.23,-2,4.9
Wario,Duck Hunt,3,1,0,2,193,2.035,0,6.9350000000000005
Wario,Hero,4,1,0,1,121,1.395,0,8.33
Wario,Isabelle,1,1,0,1,16,1.92,-1,10.25
Wario,Ridley,2,1,0,1,0,2.0,1,12.25
Wario,Sora,3,1,0,2,113,2.435,0,14.685
