Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Rosalina & Luma,Banjo & Kazooie,1,1,0,1,0,2.0,-1,23.785
Rosalina & Luma,Lucas,2,1,0,1,70,1.65,1,25.435
Rosalina & Luma,Captain Falcon,3,1,0,2,108,2.46,0,27.895
Richter,Palutena,1,1,0,1,37,1.815,-1,1.815
Richter,Hero,2,0,1,-1,76,0.38,-1,2.195
Richter,Daisy,1,1,0,2,108,2.46,0,4.654999999999999
Richter,Steve,2,1,0,1,0,2.0,-2,6.654999999999999
Richter,Diddy Kong,3,1,0,1,133,1.335,-2,7.99
Richter,Kazuya,4,0,1,-1,81,0.405,0,8.395
Richter,Daisy,1,1,0,2,12,2.94,0,11.335
Richter,Isabelle,2,0,1,-2,107,-0.465,0,10.87
Marth,Ridley,1,1,0,1,0,2.0,-3,2.0
Marth,Mega Man,2,0,1,-1,14,0.07,0,2.07
Marth,Richter,1,1,0,2,164,2.18,0,4.25
Marth,Palutena,2,1,0,2,78,2.61,-2,6.859999999999999
Marth,Meta Knight,3,0,1,-1,124,0.62,1,7.4799999999999995
Marth,Wii Fit Trainer,1,1,0,1,0,2.0,-1,9.48
Marth,Olimar,2,1,0,3,97,3.515,0,12.995000000000001
Marth,Bowser,3,0,1,-1,49,0.245,1,13.24
Marth,Mewtwo,1,1,0,1,9,1.955,-1,15.195
Marth,Steve,2,0,1,-1,28,0.14,-2,15.335
Mii Gunner,Wolf,1,1,0,1,21,1.895,-2,1.895
Mii Gunner,Banjo & Kazooie,2,0,1,-1,96,0.48,0,2.375
Mii Gunner,Rosalina & Luma,1,1,0,2,0,3.0,0,5.375
Mii Gunner,Kazuya,2,0,1,-2,62,-0.69,-2,4.6850000000000005
Mii Gunner,Fox,1,1,0,2,0,3.0,-2,7.6850000000000005
Mii Gunner,Piranha Plant,2,1,0,3,182,3.09,3,10.775
Mii Gunner,Sephiroth,3,1,0,1,13,1.935,0,12.71
Mii Gunner,Steve,1,1,0,2,110,2.45,-2,15.16
Mii Gunner,Piranha Plant,2,1,0,2,0,3.0,3,18.16
Mii Gunner,Bowser Jr,3,1,0,2,67,2.665,-2,20.825
Mii Gunner,Richter,4,1,0,2,27,2.865,0,23.69
Mii Gunner,Dr Mario,1,1,0,1,0,2.0,0,25.69
Mii Gunner,Mario,2,1,0,2,95,2.525,-2,28.215
Mii Gunner,Ryu,3,1,0,3,108,3.46,-2,31.675
Corrin,Marth,1,1,0,2,111,2.445,0,2.445
Corrin,Ness,2,0,1,-1,70,0.35,1,2.795
Corrin,Marth,1,1,0,2,67,2.665,0,5.46
Corrin,Sephiroth,2,1,0,1,37,1.815,0,7.275
Corrin,Ridley,3,1,0,2,34,2.83,-1,10.105
Corrin,Mewtwo,1,0,1,-1,23,0.115,2,10.22
Pokemon Trainer,Palutena,1,1,0,2,36,2.82,1,2.82
Pokemon Trainer,Cloud,2,0,1,-1,90,0.45,-1,3.27
Pokemon Trainer,Daisy,1,1,0,2,136,2.32,0,5.59
Pokemon Trainer,Dark Pit,2,1,0,1,175,1.125,-1,6.715
Pokemon Trainer,Zero Suit Samus,3,1,0,3,126,3.37,0,10.085
Pokemon Trainer,Young Link,1,1,0,2,69,2.655,0,12.74
Pokemon Trainer,Samus,2,1,0,1,123,1.385,0,14.125
Pokemon Trainer,Dr Mario,3,1,0,2,97,2.515,0,16.64
Pokemon Trainer,Corrin,4,1,0,2,83,2.585,1,19.225
Pokemon Trainer,Zero Suit Samus,1,1,0,3,100,3.5,0,22.725
Pokemon Trainer,Bayonetta,2,1,0,2,30,2.85,0,25.575
Pokemon Trainer,Young Link,3,1,0,2,112,2.44,0,28.015
Pokemon Trainer,Zelda,1,1,0,1,126,1.37,-1,29.384999999999998
Pokemon Trainer,Dark Pit,2,1,0,3,196,3.02,-1,32.405
Pokemon Trainer,King K Rool,3,1,0,1,0,2.0,1,34.405
