condition,molecule,label,ensemble,temperature_K,pressure_kPa,molecules,frames,production_ps,angular_kl_nats,msd_final_nm2,measured_temperature_K,measured_temperature_K_block_se,potential_kJ_mol_molecule,potential_kJ_mol_molecule_block_se,density_g_cm3,density_g_cm3_block_se,fcc_order,fcc_order_block_se,polar_order,polar_order_block_se,nematic_order,nematic_order_block_se,multipolar_order,multipolar_order_block_se,a1_squared,a1_squared_block_se,a2_squared,a2_squared_block_se,a3_squared,a3_squared_block_se,a4_squared,a4_squared_block_se,a5_squared,a5_squared_block_se,a6_squared,a6_squared_block_se
ethylene_glycol_p01_t00,ethylene_glycol,Ethylene glycol-inspired,npt,180.0,101.325,32,60,3.0,0.11174500840292373,0.026428789967967593,215.48055554273884,12.925786343619803,-27.567275167725484,0.9115018793808184,0.9570297530448724,0.03777921080607136,0.38888902998621944,0.0628907203899964,0.21670446564242207,0.03339418066917296,0.148315916574785,0.018252972401161843,0.10270534291748272,0.012305402185449916,0.022444717978451968,0.015920712425030237,0.0029145205735808238,0.0067043327897931574,-0.0003105993899124045,0.002693765560770158,0.004176886244385379,0.004499851998871607,0.004686253636191377,0.002371220877581009,0.008156755665507002,0.0037132260531314008
ethylene_glycol_p01_t01,ethylene_glycol,Ethylene glycol-inspired,npt,300.0,101.325,32,60,3.0,0.0795435832517925,0.003455559319594779,291.0240341629221,4.793482435210745,-32.71514011910768,0.25555964992112823,1.1271831226593463,0.008801300736208897,0.8509287171947896,0.004634550877787718,0.29131204700721675,0.03288368300456026,0.13788634484998957,0.027699833251638387,0.11757825395524066,0.008887959555117075,0.06403772849947603,0.017082463719880106,-0.0028495907958833084,0.009584854910952843,-0.0023632217087565196,0.004203047176843438,-0.0016349301742399154,0.002222590751710454,-0.00268736303997279,0.0016080915398138857,-0.0010139478765668077,0.001919501930857974
ethylene_glycol_p01_t02,ethylene_glycol,Ethylene glycol-inspired,npt,600.0,101.325,32,60,3.0,0.06350419281643993,0.010419301159512635,510.9780731389026,27.25528272876386,-26.15545115756426,1.0460071366642,1.0044002842447826,0.021676595395314628,0.638121039112695,0.051455859364473826,0.23900568645867087,0.029391145121604727,0.14851283603056947,0.015021445298020445,0.10572247699171497,0.010171207473262648,0.039216612885596226,0.016518585394083313,0.0027345433516651253,0.006019094283008841,0.004787090479203467,0.000788740028248272,0.0012187412360468123,0.0013668688140746651,-0.001191921222598788,0.0008672523426361087,-0.0011641174923767317,0.0020069341260452785
ethylene_glycol_p01_t03,ethylene_glycol,Ethylene glycol-inspired,npt,1000.0,101.325,32,60,3.0,0.04984525033405722,0.217372695391039,1001.0301931691262,45.3579353578172,-15.504748137127011,0.769041355799759,0.7561443157230744,0.025159925560896444,0.04753806526928519,0.009872547422215808,0.18486878522913633,0.01597251740772783,0.12309610137136738,0.003978819418068928,0.08780011392659465,0.00619686247530481,0.009705337221205177,0.005618542651828972,-0.007215554577495031,0.002585116982936434,0.008529968732193943,0.0055774993786859555,0.0011745481538142334,0.0010887367278763348,-0.0003741887770859789,0.0020793801939814824,-0.0018488238301384143,0.0022445205572956934
ethylene_glycol_p01_t04,ethylene_glycol,Ethylene glycol-inspired,npt,1600.0,101.325,32,60,3.0,0.03517876265994205,0.8886573144558517,1639.28513414349,24.580977471742727,-10.081243305320385,0.1960388745705051,0.5488565810970635,0.01542646582815025,0.03739941088025654,0.0038781711422561766,0.1741372827854485,0.005195973525453939,0.14256533553845555,0.0019442299079460146,0.07274082372122227,0.004671993755986876,0.0030778778992696446,0.0022284177633341653,-0.0003712553844597317,0.0018413430138203546,0.00032195519147150674,0.0011008852519659947,-0.0017674655266670248,0.001959964217105034,-0.001601340443433407,0.001375177415599572,0.00010853471478216925,0.0013572583245728513
ethylene_glycol_p02_t00,ethylene_glycol,Ethylene glycol-inspired,npt,180.0,1000.0,32,60,3.0,0.1437851746556742,0.02591611606913749,190.76988179695766,6.2953483764837195,-26.389621594658067,0.8066405238713045,0.9037673120557597,0.0364064025125107,0.11122119599047102,0.010669259028226834,0.2428860889857371,0.053854534228787145,0.1541149348163569,0.013899917474364795,0.10260479093332169,0.017558880873877573,0.04117015376966925,0.028204847169085983,0.00029980897647156917,0.007006830340074934,-0.007692860337929646,0.003686870618309311,0.0010420250696017647,0.0022606934809395085,-0.001333679851403539,0.002492185547252766,-0.00015419489651876742,0.0011269483316683807
ethylene_glycol_p02_t01,ethylene_glycol,Ethylene glycol-inspired,npt,300.0,1000.0,32,60,3.0,0.10705779492222917,0.03489680853699245,291.29767135957565,10.388956961708066,-27.732543507378885,0.39773998949149086,1.006848122004885,0.011522179040807583,0.07959969444111696,0.010285518880843584,0.19299660466112087,0.03146759065829362,0.15584581430498481,0.0113596370639552,0.07839912642345094,0.018916461085011334,0.012463529252656074,0.01494757042627226,0.009391921061496283,0.006447602381509112,-1.6670907247923253e-05,0.0037867709499616615,-0.004341201610347086,0.0021595476788561292,-0.0021506189968751844,0.002553673124499581,-0.0008674228486380245,0.0016094037588173635
ethylene_glycol_p02_t02,ethylene_glycol,Ethylene glycol-inspired,npt,600.0,1000.0,32,60,3.0,0.06952434206993974,0.11717019928446398,551.6852551855769,15.565577313665443,-21.200458985081706,0.3629097709710349,0.8833118408657629,0.02000732652798968,0.04108656148693513,0.0063591552859212554,0.19822252806737917,0.03140143460343075,0.16320654993247632,0.010029398774545272,0.0865709198420504,0.009698461529202238,0.014714569275832612,0.014789275064197312,0.008347218380337067,0.0037477369710187014,-0.0019965551663818225,0.002800546457264085,-0.0013279176912034361,0.0008413713323630477,-0.0018665687222154735,0.0025993219735767044,0.0013513094942967196,0.0012482137108519764
ethylene_glycol_p02_t03,ethylene_glycol,Ethylene glycol-inspired,npt,1000.0,1000.0,32,60,3.0,0.05670691592942438,0.5280879948625655,871.8528271762054,19.242022014076376,-13.093942973485149,1.173300390845737,0.5911086457973673,0.0466244924837075,0.03206538841143543,0.004410430747987331,0.19847476501193412,0.012303019791779678,0.1625413158712912,0.006095246428343563,0.08911320313597822,0.001696404340593485,0.01375932321666324,0.004987259157593615,0.007150011134525656,0.00468925125072971,0.0033256795925904357,0.004332808318698962,-0.0009326508411285364,0.003328807767341784,0.0023115806716744046,0.002369502129445902,-0.0003197442652602755,0.001753447055846682
ethylene_glycol_p02_t04,ethylene_glycol,Ethylene glycol-inspired,npt,1600.0,1000.0,32,60,3.0,0.04721743393636546,1.2984583452286005,1581.0435619669001,40.45435619870259,-5.254080929952588,0.48048892501964546,0.2821789662394727,0.02839033546140965,0.028577524624397603,0.0032773737614773778,0.17143917095263944,0.01108867968448441,0.1628932720461341,0.010051750840222142,0.08254646458766722,0.0032366324646456892,0.0026444865220708116,0.004522317103496855,0.007528553739718145,0.004547992855172214,-0.002389788618929386,0.0018705233102243898,-0.001550630415336972,0.0021446553072475825,-0.00029522776316089023,0.0018007526350297721,0.002821985578747938,0.0008362751251951635
